source,Si/Al,Na/Al,Ca/Si,OH/Al,Fine_aggregate_to_binder,Coarse_aggregate_to_binder,Solid_type,Activator_binder,NaOH_molarity,Water_in_sodium silicate,Humidity,Superplasticiser_dosage,Curing_temperature (C),Curing_age (d),CS (MPa)
,2.986934001,1.156361444,0.585891966,0.493533761,1.777777778,1.833333333,concrete,0.282422222,12,0.55,0.6,7,23,7,40.55
,3.862958133,1.787104049,1.273139088,0.762733994,1.777777778,1.833333333,concrete,0.282422222,12,0.55,0.6,7,23,7,61.45
,2.567965938,0.854701937,0.091457745,0.364785823,1.777777778,1.833333333,concrete,0.282422222,12,0.55,0.6,7,23,14,6.9
,2.788248116,1.01330642,0.369942338,0.432478038,1.777777778,1.833333333,concrete,0.282422222,12,0.55,0.6,7,23,14,26.4
,2.986934001,1.156361444,0.585891966,0.493533761,1.777777778,1.833333333,concrete,0.282422222,12,0.55,0.6,7,23,14,40.55
,3.862958133,1.787104049,1.273139088,0.762733994,1.777777778,1.833333333,concrete,0.282422222,12,0.55,0.6,7,23,14,62.1
,2.567965938,0.854701937,0.091457745,0.364785823,1.777777778,1.833333333,concrete,0.282422222,12,0.55,0.6,7,23,28,18.07
,2.788248116,1.01330642,0.369942338,0.432478038,1.777777778,1.833333333,concrete,0.282422222,12,0.55,0.6,7,23,28,36.59
,2.986934001,1.156361444,0.585891966,0.493533761,1.777777778,1.833333333,concrete,0.282422222,12,0.55,0.6,7,23,28,44.76
,3.862958133,1.787104049,1.273139088,0.762733994,1.777777778,1.833333333,concrete,0.282422222,12,0.55,0.6,7,23,28,64.17
,2.567965938,0.854701937,0.091457745,0.364785823,1.777777778,1.833333333,concrete,0.282422222,12,0.55,0.6,7,40,3,22.55
,2.788248116,1.01330642,0.369942338,0.432478038,1.777777778,1.833333333,concrete,0.282422222,12,0.55,0.6,7,40,3,44.65
,2.986934001,1.156361444,0.585891966,0.493533761,1.777777778,1.833333333,concrete,0.282422222,12,0.55,0.6,7,40,3,55
,3.862958133,1.787104049,1.273139088,0.762733994,1.777777778,1.833333333,concrete,0.282422222,12,0.55,0.6,7,40,3,61.5
,2.567965938,0.854701937,0.091457745,0.364785823,1.777777778,1.833333333,concrete,0.282422222,12,0.55,0.6,7,40,7,28.25
,2.788248116,1.01330642,0.369942338,0.432478038,1.777777778,1.833333333,concrete,0.282422222,12,0.55,0.6,7,40,7,51.6
,2.986934001,1.156361444,0.585891966,0.493533761,1.777777778,1.833333333,concrete,0.282422222,12,0.55,0.6,7,40,7,59.3
,3.862958133,1.787104049,1.273139088,0.762733994,1.777777778,1.833333333,concrete,0.282422222,12,0.55,0.6,7,40,7,68.03
,2.567965938,0.854701937,0.091457745,0.364785823,1.777777778,1.833333333,concrete,0.282422222,12,0.55,0.6,7,40,14,31.89
,2.788248116,1.01330642,0.369942338,0.432478038,1.777777778,1.833333333,concrete,0.282422222,12,0.55,0.6,7,40,14,48.13
,2.986934001,1.156361444,0.585891966,0.493533761,1.777777778,1.833333333,concrete,0.282422222,12,0.55,0.6,7,40,14,51.69
,3.862958133,1.787104049,1.273139088,0.762733994,1.777777778,1.833333333,concrete,0.282422222,12,0.55,0.6,7,40,14,62.65
,2.567965938,0.854701937,0.091457745,0.364785823,1.777777778,1.833333333,concrete,0.282422222,12,0.55,0.6,7,40,28,38.21
,2.788248116,1.01330642,0.369942338,0.432478038,1.777777778,1.833333333,concrete,0.282422222,12,0.55,0.6,7,40,28,45.82
,2.986934001,1.156361444,0.585891966,0.493533761,1.777777778,1.833333333,concrete,0.282422222,12,0.55,0.6,7,40,28,48.6
,3.862958133,1.787104049,1.273139088,0.762733994,1.777777778,1.833333333,concrete,0.282422222,12,0.55,0.6,7,40,28,57.5
,2.567965938,0.854701937,0.091457745,0.364785823,1.777777778,1.833333333,concrete,0.282422222,12,0.55,0.6,7,85,0.167,55.4
,2.986934001,1.156361444,0.585891966,0.493533761,1.777777778,1.833333333,concrete,0.282422222,12,0.55,0.6,7,85,0.167,11.5
,2.567965938,0.854701937,0.091457745,0.364785823,1.777777778,1.833333333,concrete,0.282422222,12,0.55,0.6,7,85,0.333,10.35
,2.986934001,1.156361444,0.585891966,0.493533761,1.777777778,1.833333333,concrete,0.282422222,12,0.55,0.6,7,85,0.333,26.37
,2.567965938,0.854701937,0.091457745,0.364785823,1.777777778,1.833333333,concrete,0.282422222,12,0.55,0.6,7,85,0.5,17.1
,2.986934001,1.156361444,0.585891966,0.493533761,1.777777778,1.833333333,concrete,0.282422222,12,0.55,0.6,7,85,0.5,45.25
,2.567965938,0.854701937,0.091457745,0.364785823,1.777777778,1.833333333,concrete,0.282422222,12,0.55,0.6,7,85,0.583,21.33
,2.986934001,1.156361444,0.585891966,0.493533761,1.777777778,1.833333333,concrete,0.282422222,12,0.55,0.6,7,85,0.583,54.87
,2.567965938,0.854701937,0.091457745,0.364785823,1.777777778,1.833333333,concrete,0.282422222,12,0.55,0.6,7,85,1,33.62
,2.986934001,1.156361444,0.585891966,0.493533761,1.777777778,1.833333333,concrete,0.282422222,12,0.55,0.6,7,85,1,72.78
,2.567965938,0.854701937,0.091457745,0.364785823,1.777777778,1.833333333,concrete,0.282422222,12,0.55,0.6,7,85,2,39.21
,2.986934001,1.156361444,0.585891966,0.493533761,1.777777778,1.833333333,concrete,0.282422222,12,0.55,0.6,7,85,2,66.83
Flexural strength and elastic modulus of ambient-cured blended low-calcium fly ash geopolymer concrete,1.744189506,0.864267358,0.054083977,0.337489419,1.6275,3.0225,concrete,0.4,14,0.585,0.7,0,20,28,25.6
,1.820272706,0.914533054,0.180530607,0.357117767,1.6275,3.0225,concrete,0.4,14,0.585,0.7,0,20,28,38.3
,1.861732448,0.941924157,0.245084359,0.367813772,1.6275,3.0225,concrete,0.4,14,0.585,0.7,6,20,28,46.6
,1.744189506,0.756314089,0.054083977,0.295395553,1.63975,3.045,concrete,0.35,14,0.585,0.7,6,20,28,32.5
,1.820272706,0.800301234,0.180530607,0.312575726,1.63975,3.045,concrete,0.35,14,0.585,0.7,0,20,28,33.3
,1.744189506,0.864267358,0.054083977,0.337489419,1.6275,3.0225,concrete,0.4,14,0.585,0.7,0,20,90,33.4
,1.820272706,0.914533054,0.180530607,0.357117767,1.6275,3.0225,concrete,0.4,14,0.585,0.7,0,20,90,45.5
,1.861732448,0.941924157,0.245084359,0.367813772,1.6275,3.0225,concrete,0.4,14,0.585,0.7,6,20,90,53.3
,1.744189506,0.756314089,0.054083977,0.295395553,1.63975,3.045,concrete,0.35,14,0.585,0.7,6,20,90,41.1
,1.820272706,0.800301234,0.180530607,0.312575726,1.63975,3.045,concrete,0.35,14,0.585,0.7,0,20,90,43
Influence of alkaline activators on the mechanical properties of fly ash based geopolymer concrete cured at ambient temperature,6.994728089,3.107064122,0.141022433,1.396462755,1.406091371,3.284263959,concrete,0.4,8,0.54,0.6,0,23,28,10.9
,6.994728089,2.927810735,0.141022433,1.163718963,1.406091371,3.284263959,concrete,0.4,8,0.54,0.6,0,23,28,9.2
,6.994728089,2.799772601,0.141022433,0.997473397,1.406091371,3.284263959,concrete,0.4,8,0.54,0.6,0,23,28,8
,7.003910308,3.884683739,0.140837551,1.746686748,1.505434783,3.516304348,concrete,0.5,8,0.54,0.6,0,23,28,7.6
,7.003910308,3.658485353,0.140837551,1.454781218,1.505434783,3.516304348,concrete,0.499728261,8,0.54,0.6,0,23,28,8.5
,7.003910308,3.497639767,0.140837551,1.245938237,1.505434783,3.516304348,concrete,0.499728261,8,0.54,0.6,0,23,28,8.5
,7.013186703,4.661620487,0.140651264,2.096024097,1.605797101,3.750724638,concrete,0.6,8,0.54,0.6,0,23,28,7.6
,7.013186703,4.392569689,0.140651264,1.746686748,1.605797101,3.750724638,concrete,0.6,8,0.54,0.6,0,23,28,8
,7.013186703,4.198082853,0.140651264,1.496075171,1.605797101,3.750724638,concrete,0.599710145,8,0.54,0.6,0,23,28,8
,7.027219016,3.107064122,0.140370404,1.396462755,1.406091371,3.284263959,concrete,0.4,10,0.54,0.6,0,23,28,14.4
,7.027219016,2.927810735,0.140370404,1.163718963,1.406091371,3.284263959,concrete,0.4,10,0.54,0.6,0,23,28,13.9
,7.027219016,2.799772601,0.140370404,0.997473397,1.406091371,3.284263959,concrete,0.4,10,0.54,0.6,0,23,28,13.1
,7.03869679,3.884683739,0.140141507,1.746686748,1.505434783,3.516304348,concrete,0.5,10,0.54,0.6,0,23,28,14.2
,7.03869679,3.658485353,0.140141507,1.454781218,1.505434783,3.516304348,concrete,0.499728261,10,0.54,0.6,0,23,28,12.9
,7.03869679,3.497639767,0.140141507,1.245938237,1.505434783,3.516304348,concrete,0.499728261,10,0.54,0.6,0,23,28,12.9
,7.050292284,4.661620487,0.139911018,2.096024097,1.605797101,3.750724638,concrete,0.6,10,0.54,0.6,0,23,28,13
,7.050292284,4.392569689,0.139911018,1.746686748,1.605797101,3.750724638,concrete,0.6,10,0.54,0.6,0,23,28,11.7
,7.050292284,4.198082853,0.139911018,1.496075171,1.605797101,3.750724638,concrete,0.599710145,10,0.54,0.6,0,23,28,11.8
,7.059709944,3.107064122,0.139724377,1.396462755,1.406091371,3.284263959,concrete,0.4,12,0.54,0.6,0,23,28,15
,7.059709944,2.927810735,0.139724377,1.163718963,1.406091371,3.284263959,concrete,0.4,12,0.54,0.6,0,23,28,14.5
,7.059709944,2.799772601,0.139724377,0.997473397,1.406091371,3.284263959,concrete,0.4,12,0.54,0.6,0,23,28,13
